,geometry,site_name,water_pixels_orig,inundated_vegetation_orig,total_pixels_orig,water_pixels_crop,inundated_vegetation_crop,total_pixels_crop,percent_water_orig,percent_inundated_vegetation_orig,percent_water_crop,percent_inundated_vegetation_crop,percent_total_water_orig,percent_total_water_crop
10,"POLYGON ((-105.6159998610844 59.36031654884997, -105.61518758594893 59.31541826509907, -105.70301454431362 59.31497407540698, -105.70394276164853 59.35987156910091, -105.6159998610844 59.36031654884997))",4_20,52916.0,5301.0,1252152,19097.0,54.0,250000,4.226004510634492,0.4233511586452763,7.6388,0.021599999999999998,4.6493556692797675,7.6604
11,"POLYGON ((8.367931721434159 58.61763842809964, 8.368741128555186 58.57273509279623, 8.282781504863449 58.57228418287937, 8.281861901050181 58.617186727157176, 8.367931721434159 58.61763842809964))",4_9,120273.0,8713.0,1249915,26894.0,8326.0,250000,9.622494329614414,0.6970874019433322,10.7576,3.3304,10.319581731557745,14.088000000000001
12,"POLYGON ((-122.77583765130086 57.86422916208372, -122.7761164191005 57.81931810456543, -122.86028179982776 57.81943871721724, -122.86010782915253 57.86434998358324, -122.77583765130086 57.86422916208372))",3_42,30.0,0.0,1249843,30.0,0.0,250000,0.00240030147786562,0.0,0.012,0.0,0.00240030147786562,0.012
13,"POLYGON ((43.61696380857165 57.6865655293738, 43.61867183432891 57.641665935227294, 43.53494459835928 57.640723664042284, 43.53313313090744 57.68562163193296, 43.61696380857165 57.6865655293738))",3_19,5876.0,12.0,1250770,5876.0,12.0,250000,0.46979060898486535,0.000959409004053503,2.3504,0.0048000000000000004,0.47075001798891886,2.3552
14,"POLYGON ((107.00194078169754 57.157236159157286, 106.99951839213234 57.11234708740294, 106.91700886095288 57.113635982989294, 106.91933144407257 57.15852725971571, 107.00194078169754 57.157236159157286))",3_2,9633.0,0.0,1247246,5789.0,0.0,250000,0.7723416230639345,0.0,2.3156,0.0,0.7723416230639345,2.3156
15,"POLYGON ((-96.6643123758211 57.02152171659965, -96.66712379659238 56.976641561826135, -96.74931550163238 56.97814758454688, -96.74660292462586 57.02303030971671, -96.6643123758211 57.02152171659965))",4_17,334901.0,100763.0,1248075,194209.0,12961.0,250000,26.833403441299602,8.07347314864892,77.6836,5.1844,34.906876589948524,82.868
16,"POLYGON ((25.020166506568557 57.01893987583308, 25.02254954285357 56.974049205123386, 24.940351907484622 56.97272271402232, 24.937869982001832 57.017611120484055, 25.020166506568557 57.01893987583308))",3_16,7168.0,10.0,1249299,4154.0,0.0,250000,0.5737617655981474,0.0008004488917384869,1.6616,0.0,0.5745622144898859,1.6616
17,"POLYGON ((48.01822019033466 56.96052350634899, 48.014596323648746 56.915667886860106, 47.93258308139574 56.91762027048021, 47.93610870948692 56.96247921722191, 48.01822019033466 56.96052350634899))",3_23,15176.0,3736.0,1357161,13920.0,938.0,250000,1.1182166301566285,0.275280530460277,5.568,0.37520000000000003,1.3934971606169055,5.9432
18,"POLYGON ((-71.88193380052634 55.16146251149152, -71.8786997652068 55.11658823983725, -71.95698713139431 55.11471204644711, -71.96030880864261 55.15958320113386, -71.88193380052634 55.16146251149152))",4_21,67619.0,918492.0,1460440,27178.0,155430.0,250000,4.630043000739503,62.89145736901208,10.8712,62.172000000000004,67.52150036975158,73.0432
19,"POLYGON ((47.7024489107586 55.1756371675619, 47.69941453856456 55.13075614712218, 47.62107877635062 55.13246715622796, 47.62402534241655 55.177351020420616, 47.7024489107586 55.1756371675619))",3_41,12548.0,0.0,1246550,4994.0,0.0,250000,1.0066182664153063,0.0,1.9976,0.0,1.0066182664153063,1.9976
20,"POLYGON ((52.74710155570898 54.996421368377575, 52.745152451898996 54.95150994697175, 52.66711671377575 54.95260515536037, 52.66897876289786 54.99751839401922, 52.74710155570898 54.996421368377575))",3_44,1168.0,0.0,1248835,985.0,0.0,250000,0.09352716731994219,0.0,0.394,0.0,0.09352716731994219,0.394
21,"POLYGON ((33.74640062493124 54.681170826742324, 33.7455774735365 54.63623998854441, 33.668118742531746 54.63669205004378, 33.66885639240057 54.681623635671336, 33.74640062493124 54.681170826742324))",2_42,0.0,0.0,1249600,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
22,"POLYGON ((-69.18102908477606 54.45551177177268, -69.18083108946185 54.41057565943215, -69.2578686340217 54.41043576049598, -69.25815097723147 54.455371642144485, -69.18102908477606 54.45551177177268))",4_11,979785.0,602.0,1248794,219789.0,0.0,250000,78.45849675767181,0.04820650964050116,87.91560000000001,0.0,78.50670326731232,87.91560000000001
23,"POLYGON ((63.115604260786135 54.29813356295538, 63.11547855158341 54.253196138665466, 63.038733930288124 54.25324522077482, 63.038776095895074 54.29818272585104, 63.115604260786135 54.29813356295538))",4_1,16881.0,2860.0,1249875,8371.0,1795.0,250000,1.3506150615061507,0.2288228822882288,3.3484,0.718,1.5794379437943795,4.0664
24,"POLYGON ((-10.202365231216103 54.08519641000292, -10.201068038651018 54.040267187390114, -10.2774013330269 54.03948050311558, -10.278780914936409 54.084408434381146, -10.202365231216103 54.08519641000292))",4_24,1144416.0,0.0,1250886,250000.0,0.0,250000,91.48843299869053,0.0,100.0,0.0,91.48843299869053,100.0
25,"POLYGON ((78.70829862478038 53.03634144804005, 78.71067788628497 52.9914303454822, 78.63625120895101 52.98997332240562, 78.63379476991645 53.03488206134111, 78.70829862478038 53.03634144804005))",3_12,22457.0,5758.0,1249083,22182.0,5758.0,250000,1.7978789239786308,0.4609781735881443,8.8728,2.3032,2.258857097566775,11.176
26,"POLYGON ((55.521590976766795 51.935610329593835, 55.52306638079542 51.89066983435607, 55.450436727293145 51.889735715568236, 55.448888838044674 51.93467471010144, 55.521590976766795 51.935610329593835))",3_32,1701.0,0.0,1249600,810.0,0.0,250000,0.1361235595390525,0.0,0.32399999999999995,0.0,0.1361235595390525,0.32399999999999995
27,"POLYGON ((-56.93752162189911 51.74443694117863, -56.93758355429705 51.699480038237574, -57.00993273237468 51.69949619718782, -57.009942588085025 51.74445312605642, -56.93752162189911 51.74443694117863))",4_22,64452.0,222087.0,1249875,21724.0,138534.0,250000,5.156675667566757,17.76873687368737,8.6896,55.413599999999995,22.925412541254126,64.1032
28,"POLYGON ((-76.23826748186941 51.56567017895825, -76.23704795725337 51.520722371906125, -76.30909510724297 51.519940432384026, -76.31038561027515 51.564886986934006, -76.23826748186941 51.56567017895825))",4_25,155364.0,23089.0,1249728,81996.0,7710.0,250000,12.431825165155939,1.8475220207917242,32.7984,3.084,14.279347185947662,35.882400000000004
29,"POLYGON ((122.54194384986867 51.440208809763604, 122.54239298412507 51.3952509729278, 122.4705276324837 51.39494833326832, 122.47000797098596 51.439905685721, 122.54194384986867 51.440208809763604))",2_36,4580.0,29.0,1248806,3616.0,29.0,250000,0.3667503199055738,0.0023222181828082187,1.4464,0.0116,0.369072538088382,1.458
30,"POLYGON ((67.42670841099071 51.2598641873604, 67.42824098291563 51.21492047177605, 67.35668278767943 51.21393729842168, 67.35508051663491 51.25887944317986, 67.42670841099071 51.2598641873604))",3_24,16088.0,0.0,1250700,8770.0,0.0,250000,1.2863196609898457,0.0,3.508,0.0,1.2863196609898457,3.508
31,"POLYGON ((35.478840376028046 49.64047527304279, 35.476560917234906 49.595544119523744, 35.40743444801977 49.59700332098635, 35.409650434124025 49.64193677987414, 35.478840376028046 49.64047527304279))",3_39,3918.0,0.0,1248324,2369.0,0.0,250000,0.3138608245936151,0.0,0.9476,0.0,0.3138608245936151,0.9476
32,"POLYGON ((97.57557466006295 49.40530916199075, 97.57687396474725 49.36034797828007, 97.50803907723726 49.35947989302707, 97.50667698234608 49.4044397062198, 97.57557466006295 49.40530916199075))",4_8,62716.0,0.0,1249668,62716.0,0.0,250000,5.0186129435978195,0.0,25.086399999999998,0.0,5.0186129435978195,25.086399999999998
33,"POLYGON ((-118.62517426928194 48.73929516466619, -118.62372622902711 48.69433296160304, -118.69164198536764 48.69335551145187, -118.69315052385545 48.738316176469745, -118.62517426928194 48.73929516466619))",3_3,24271.0,57.0,1248464,20771.0,57.0,250000,1.9440688718297046,0.0045656102218405974,8.3084,0.0228,1.948634482051545,8.3312
34,"POLYGON ((106.26169100657982 47.84142725517937, 106.2606016143289 47.79645080563657, 106.1938505355799 47.79716455027518, 106.19488227696571 47.84214211922517, 106.26169100657982 47.84142725517937))",2_9,0.0,0.0,1250580,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
35,"POLYGON ((44.34884889514944 47.30007073433877, 44.349400612068415 47.25508201232851, 44.28332306167989 47.254687783872974, 44.28271532128598 47.29967588849205, 44.34884889514944 47.30007073433877))",1_47,0.0,0.0,1249899,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
36,"POLYGON ((63.12190718557944 47.25551435141253, 63.12180405282235 47.21052247262688, 63.05577696216816 47.210573639729624, 63.05582418921415 47.25556559864311, 63.12190718557944 47.25551435141253))",2_6,47.0,0.0,1249899,45.0,0.0,250000,0.00376030383254967,0.0,0.018000000000000002,0.0,0.00376030383254967,0.018000000000000002
37,"POLYGON ((31.842372492228108 46.580024504555595, 31.843328949653525 46.535036380208446, 31.778139569731835 46.53435854323554, 31.77712923871954 46.57934560787084, 31.842372492228108 46.580024504555595))",4_40,745834.0,219492.0,1248650,249940.0,60.0,250000,59.73122972810635,17.578344612181155,99.976,0.024,77.3095743402875,100.0
38,"POLYGON ((-123.64805292505439 46.3451959256725, -123.6475218323038 46.300199635305354, -123.71244156059693 46.29981354460406, -123.7130258895518 46.344809231507, -123.64805292505439 46.3451959256725))",4_19,39121.0,1622.0,1248764,30766.0,1523.0,250000,3.132777690580446,0.12988843368322597,12.3064,0.6092,3.262666124263672,12.9156
39,"POLYGON ((-80.42659633806764 46.34424465707207, -80.42706624077582 46.299247733817445, -80.49198693974174 46.299554611884105, -80.49157027705564 46.344552014804734, -80.42659633806764 46.34424465707207))",4_14,6771.0,205.0,1250910,5312.0,205.0,250000,0.5412859438328896,0.01638806948541462,2.1248,0.082,0.5576740133183042,2.2068
40,"POLYGON ((16.08727779514893 44.2411876116792, 16.086449767263918 44.196179906092866, 16.023889279075185 44.196757802769724, 16.024669647996742 44.241766411225186, 16.08727779514893 44.2411876116792))",2_28,0.0,0.0,1249635,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
41,"POLYGON ((46.80585439932993 43.88059880144029, 46.804496450459865 43.83560251265499, 46.742332990188274 43.83656743883798, 46.74364421759553 43.8815652354363, 46.80585439932993 43.88059880144029))",3_6,8091.0,0.0,1250392,3837.0,0.0,250000,0.6470770766287692,0.0,1.5348000000000002,0.0,0.6470770766287692,1.5348000000000002
42,"POLYGON ((145.44213179168568 43.87947763380576, 145.44330326568593 43.83447561126304, 145.381136004248 43.83361169443792, 145.37991779590394 43.878612366873746, 145.44213179168568 43.87947763380576))",4_5,415903.0,0.0,1251837,209272.0,0.0,250000,33.22341486950777,0.0,83.70880000000001,0.0,33.22341486950777,83.70880000000001
43,"POLYGON ((-98.92143855779976 43.28454065098471, -98.92149642761056 43.239517309823974, -98.98307957130073 43.23954299408202, -98.98306709819731 43.28456637544369, -98.92143855779976 43.28454065098471))",4_39,159976.0,0.0,1249908,93816.0,0.0,250000,12.79902200801979,0.0,37.526399999999995,0.0,12.79902200801979,37.526399999999995
44,"POLYGON ((-85.60262919495828 43.115929797038966, -85.60365238355125 43.07091848732797, -85.66504935748954 43.071651295596425, -85.66407112482887 43.116663752439614, -85.60262919495828 43.115929797038966))",3_45,29722.0,439.0,1248386,10376.0,0.0,250000,2.3808341330325713,0.03516540557167415,4.1504,0.0,2.4159995386042454,4.1504
45,"POLYGON ((-0.046717814911286 43.11528593522536, -0.0488794944653392 43.070321083950944, -0.1102138500872133 43.07188766889593, -0.1080969433321008 43.11685496999342, -0.046717814911286 43.11528593522536))",3_28,9795.0,0.0,1337486,5889.0,0.0,250000,0.7323441142561492,0.0,2.3556,0.0,0.7323441142561492,2.3556
46,"POLYGON ((-115.30792025323223 42.62153801962568, -115.30913796369455 42.57652906112603, -115.37003943548972 42.577411820100714, -115.36886553624998 42.622422162218506, -115.30792025323223 42.62153801962568))",1_15,0.0,0.0,1249348,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
47,"POLYGON ((116.90881322323554 42.38471663782634, 116.90887831418719 42.33968620957291, 116.84818097432986 42.33962190987046, 116.84807252577397 42.38465223722068, 116.90881322323554 42.38471663782634))",2_7,586.0,0.0,1248806,397.0,0.0,250000,0.04692482259053848,0.0,0.1588,0.0,0.04692482259053848,0.1588
48,"POLYGON ((-116.64070081789227 40.28062330549161, -116.64093901416341 40.23557719183842, -116.6997162488638 40.235744613859595, -116.6995170430572 40.280790992883794, -116.64070081789227 40.28062330549161))",2_20,3539.0,0.0,1249888,2252.0,0.0,250000,0.28314536982513633,0.0,0.9008,0.0,0.28314536982513633,0.9008
49,"POLYGON ((111.93460555752299 39.561024867428216, 111.93400157007001 39.51597826373469, 111.87584160717198 39.5164310064966, 111.87640799664939 39.561478331115, 111.93460555752299 39.561024867428216))",1_24,0.0,0.0,1247520,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
50,"POLYGON ((-95.88806969810065 39.18003121489269, -95.89005286157482 39.13504220824811, -95.94782200552083 39.136570689531844, -95.94587553955381 39.18156213353573, -95.88806969810065 39.18003121489269))",3_7,7979.0,27067.0,1413980,2254.0,5150.0,250000,0.564293695808993,1.9142420684875316,0.9016,2.06,2.4785357642965247,2.9616
51,"POLYGON ((-109.08417269465647 38.48109192956137, -109.08536390518154 38.43605619517272, -109.14262338970902 38.436978105840744, -109.14146775301239 38.482015319863834, -109.08417269465647 38.48109192956137))",2_26,34.0,0.0,1248254,34.0,0.0,250000,0.0027238046102796387,0.0,0.0136,0.0,0.0027238046102796387,0.0136
52,"POLYGON ((139.79162849482384 38.48048812742343, 139.79237989528846 38.4354371921058, 139.7351037581196 38.43483284540275, 139.73431674218807 38.4798828104528, 139.79162849482384 38.48048812742343))",3_27,643.0,0.0,1248624,630.0,0.0,250000,0.05149668755365906,0.0,0.252,0.0,0.05149668755365906,0.252
