,geometry,centerLat,centerLon,stopTime,fileID,flightDirection,pathNumber,processingLevel,url,startTime,sceneName,browse,platform,bytes,md5sum,frameNumber,granuleType,orbit,polarization,processingDate,sensor,groupID,pgeVersion,fileName,beamModeType,date_str,mgrs_tile_id,acq_dt,acq_date
10,"POLYGON ((-82.508659 27.800112, -82.152473 26.167065, -79.640717 26.582821, -79.958138 28.213032, -82.508659 27.800112))",27.1965,-81.0673,2023-03-31T23:29:09.059Z,S1A_IW_SLC__1SDV_20230331T232841_20230331T232909_047895_05C150_C325-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230331T232841_20230331T232909_047895_05C150_C325.zip,2023-03-31 23:28:41.989000+00:00,S1A_IW_SLC__1SDV_20230331T232841_20230331T232909_047895_05C150_C325,,Sentinel-1A,4390222090,741708b3e8902a8d32c177887c3b5465,84,SENTINEL_1A_FRAME,47895,VV+VH,2023-03-31T23:28:41.989Z,C-SAR,S1A_IWDV_0083_0090_047895_048,003.61,S1A_IW_SLC__1SDV_20230331T232841_20230331T232909_047895_05C150_C325.zip,IW,2023-03-31,17RMJ,2023-03-31 23:28:41.989000+00:00,2023-03-31
11,"POLYGON ((-82.181801 26.302128, -81.818398 24.617485, -79.340454 25.036095, -79.666954 26.717646, -82.181801 26.302128))",25.6737,-80.754,2023-03-31T23:28:44.228Z,S1A_IW_SLC__1SDV_20230331T232816_20230331T232844_047895_05C150_A6E6-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230331T232816_20230331T232844_047895_05C150_A6E6.zip,2023-03-31 23:28:16.313000+00:00,S1A_IW_SLC__1SDV_20230331T232816_20230331T232844_047895_05C150_A6E6,,Sentinel-1A,4412725031,24244de40533a828753bf7ab1788f296,79,SENTINEL_1A_FRAME,47895,VV+VH,2023-03-31T23:28:16.313Z,C-SAR,S1A_IWDV_0078_0085_047895_048,003.61,S1A_IW_SLC__1SDV_20230331T232816_20230331T232844_047895_05C150_A6E6.zip,IW,2023-03-31,17RMJ,2023-03-31 23:28:16.313000+00:00,2023-03-31
12,"POLYGON ((-82.508072 27.800091, -82.152008 26.167543, -79.64019 26.583282, -79.957497 28.212996, -82.508072 27.800091))",27.1967,-81.0667,2023-03-19T23:29:08.623Z,S1A_IW_SLC__1SDV_20230319T232841_20230319T232908_047720_05BB74_9C8E-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230319T232841_20230319T232908_047720_05BB74_9C8E.zip,2023-03-19 23:28:41.561000+00:00,S1A_IW_SLC__1SDV_20230319T232841_20230319T232908_047720_05BB74_9C8E,,Sentinel-1A,4390983104,784d1effbfa95ff0f747da2d097ba455,84,SENTINEL_1A_FRAME,47720,VV+VH,2023-03-19T23:28:41.561Z,C-SAR,S1A_IWDV_0083_0090_047720_048,003.52,S1A_IW_SLC__1SDV_20230319T232841_20230319T232908_047720_05BB74_9C8E.zip,IW,2023-03-19,17RMJ,2023-03-19 23:28:41.561000+00:00,2023-03-19
13,"POLYGON ((-82.181305 26.302483, -81.817917 24.617842, -79.33992 25.036434, -79.666397 26.717983, -82.181305 26.302483))",25.6741,-80.7535,2023-03-19T23:28:43.798Z,S1A_IW_SLC__1SDV_20230319T232815_20230319T232843_047720_05BB74_7BFA-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230319T232815_20230319T232843_047720_05BB74_7BFA.zip,2023-03-19 23:28:15.883000+00:00,S1A_IW_SLC__1SDV_20230319T232815_20230319T232843_047720_05BB74_7BFA,,Sentinel-1A,4385287767,07cfc7dad26802d09e512e247df7f1d2,79,SENTINEL_1A_FRAME,47720,VV+VH,2023-03-19T23:28:15.883Z,C-SAR,S1A_IWDV_0078_0085_047720_048,003.52,S1A_IW_SLC__1SDV_20230319T232815_20230319T232843_047720_05BB74_7BFA.zip,IW,2023-03-19,17RMJ,2023-03-19 23:28:15.883000+00:00,2023-03-19
14,"POLYGON ((-82.508141 27.800589, -82.151993 26.167673, -79.64019 26.583408, -79.957573 28.21349, -82.508141 27.800589))",27.197,-81.0668,2023-03-07T23:29:08.432Z,S1A_IW_SLC__1SDV_20230307T232841_20230307T232908_047545_05B58A_7DF2-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230307T232841_20230307T232908_047545_05B58A_7DF2.zip,2023-03-07 23:28:41.364000+00:00,S1A_IW_SLC__1SDV_20230307T232841_20230307T232908_047545_05B58A_7DF2,,Sentinel-1A,4371056770,88267f43670a30fd500bff1ad0c26716,84,SENTINEL_1A_FRAME,47545,VV+VH,2023-03-07T23:28:41.364Z,C-SAR,S1A_IWDV_0083_0090_047545_048,003.52,S1A_IW_SLC__1SDV_20230307T232841_20230307T232908_047545_05B58A_7DF2.zip,IW,2023-03-07,17RMJ,2023-03-07 23:28:41.364000+00:00,2023-03-07
15,"POLYGON ((-82.181351 26.302858, -81.817635 24.616734, -79.339684 25.035324, -79.666443 26.718355, -82.181351 26.302858))",25.6737,-80.7534,2023-03-07T23:28:43.605Z,S1A_IW_SLC__1SDV_20230307T232815_20230307T232843_047545_05B58A_1D7D-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230307T232815_20230307T232843_047545_05B58A_1D7D.zip,2023-03-07 23:28:15.666000+00:00,S1A_IW_SLC__1SDV_20230307T232815_20230307T232843_047545_05B58A_1D7D,,Sentinel-1A,4281034267,1bfcc22e4b9db5a39b78c86d665daf55,79,SENTINEL_1A_FRAME,47545,VV+VH,2023-03-07T23:28:15.666Z,C-SAR,S1A_IWDV_0078_0085_047545_048,003.52,S1A_IW_SLC__1SDV_20230307T232815_20230307T232843_047545_05B58A_1D7D.zip,IW,2023-03-07,17RMJ,2023-03-07 23:28:15.666000+00:00,2023-03-07
16,"POLYGON ((-82.509239 27.799858, -82.153122 26.167322, -79.641273 26.583105, -79.958626 28.212811, -82.509239 27.799858))",27.1965,-81.0679,2022-11-19T23:29:12.561Z,S1A_IW_SLC__1SDV_20221119T232845_20221119T232912_045970_05803A_8412-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221119T232845_20221119T232912_045970_05803A_8412.zip,2022-11-19 23:28:45.499000+00:00,S1A_IW_SLC__1SDV_20221119T232845_20221119T232912_045970_05803A_8412,,Sentinel-1A,4445410149,02a79928a264bc243eb089c6285287bd,84,SENTINEL_1A_FRAME,45970,VV+VH,2022-11-19T23:28:45.499Z,C-SAR,S1A_IWDV_0083_0090_045970_048,003.52,S1A_IW_SLC__1SDV_20221119T232845_20221119T232912_045970_05803A_8412.zip,IW,2022-11-19,17RMJ,2022-11-19 23:28:45.499000+00:00,2022-11-19
17,"POLYGON ((-82.182396 26.302135, -81.818977 24.61763, -79.340965 25.036263, -79.667465 26.71768, -82.182396 26.302135))",25.6738,-80.7545,2022-11-19T23:28:47.734Z,S1A_IW_SLC__1SDV_20221119T232819_20221119T232847_045970_05803A_B648-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221119T232819_20221119T232847_045970_05803A_B648.zip,2022-11-19 23:28:19.821000+00:00,S1A_IW_SLC__1SDV_20221119T232819_20221119T232847_045970_05803A_B648,,Sentinel-1A,4448648106,4d26ea73f7648003a8ce40bf5cbe518a,79,SENTINEL_1A_FRAME,45970,VV+VH,2022-11-19T23:28:19.821Z,C-SAR,S1A_IWDV_0078_0085_045970_048,003.52,S1A_IW_SLC__1SDV_20221119T232819_20221119T232847_045970_05803A_B648.zip,IW,2022-11-19,17RMJ,2022-11-19 23:28:19.821000+00:00,2022-11-19
18,"POLYGON ((-82.507271 27.800873, -82.151077 26.16783, -79.639343 26.583551, -79.956764 28.21376, -82.507271 27.800873))",27.1972,-81.0659,2022-11-07T23:29:12.512Z,S1A_IW_SLC__1SDV_20221107T232845_20221107T232912_045795_057A58_2A19-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221107T232845_20221107T232912_045795_057A58_2A19.zip,2022-11-07 23:28:45.443000+00:00,S1A_IW_SLC__1SDV_20221107T232845_20221107T232912_045795_057A58_2A19,,Sentinel-1A,4504716652,b6d428369af94c7a0c39e9dbffe2fd0d,84,SENTINEL_1A_FRAME,45795,VV+VH,2022-11-07T23:28:45.443Z,C-SAR,S1A_IWDV_0083_0090_045795_048,003.52,S1A_IW_SLC__1SDV_20221107T232845_20221107T232912_045795_057A58_2A19.zip,IW,2022-11-07,17RMJ,2022-11-07 23:28:45.443000+00:00,2022-11-07
19,"POLYGON ((-82.180351 26.302645, -81.816986 24.618254, -79.339058 25.036829, -79.665497 26.718132, -82.180351 26.302645))",25.6743,-80.7526,2022-11-07T23:28:47.677Z,S1A_IW_SLC__1SDV_20221107T232819_20221107T232847_045795_057A58_E374-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221107T232819_20221107T232847_045795_057A58_E374.zip,2022-11-07 23:28:19.767000+00:00,S1A_IW_SLC__1SDV_20221107T232819_20221107T232847_045795_057A58_E374,,Sentinel-1A,4470384525,b57b30958625e6bab5e905e35cbf36c5,79,SENTINEL_1A_FRAME,45795,VV+VH,2022-11-07T23:28:19.767Z,C-SAR,S1A_IWDV_0078_0085_045795_048,003.52,S1A_IW_SLC__1SDV_20221107T232819_20221107T232847_045795_057A58_E374.zip,IW,2022-11-07,17RMJ,2022-11-07 23:28:19.767000+00:00,2022-11-07
